section,question,answer,page_link
حكومة وسياسة,ما الفرق بين التقاعد العسكري والمدني في السعودية؟,"توجد فروق عدة بين التقاعد العسكري والمدني في المملكة العربية السعودية، ولكل منهما نظام ينظم تقاعد الخاضعين له، حيث حدد نظام التقاعد العسكري الصادر عام 1395هـ/1975م، العسكري بأنه هو كل شخص خاضع بصفة أساسية لنظام خدمة الضباط وخدمة الأفراد ويشمل التعبير الضباط وضباط الصف والجنود، ويحدد النظام المدد الزمنية للتقاعد لكل فئة أو رتبة عسكرية.
وحدد نظام التقاعد المدني الصادر عام 1393هـ/1973م، الموظف بأنه هو من تربطه بالدولة أو الهيئات العامة علاقة لائحية لها صفة الدوام، ويشمل هذا اللفظ الموظف والمستخدم، كما يدخل في مفهومه الوزراء ونوابهم وشاغلو المرتبة الممتازة.
وتسري أحكام النظام على جميع الموظفين المدنيين المعيّنين على مراتب في الميزانية العامة للدولة أو ميزانيات الهيئات العامة، ويستحق الموظف المدني معاشًا عند نهاية خدمته متى بلغت خدمته المحسوبة في التقاعد 25-30 سنة، بحسب التعديل الصادر على نظام التقاعد المدني في 1445هـ/2024م.",https://saudipedia.com/article/14580/حكومة-وسياسة/شؤون-حكومية/ما-الفرق-بين-التقاعد-العسكري-والمدني-في-السعودية
شؤون دينية,أين يقع جامع برزان الكبير؟,"يقع جامع برزان الكبير في وسط مدينة حائل ويعود تاريخ بنائه إلى النصف الثاني من القرن الثالث عشر الهجري/التاسع عشر الميلادي، تحيط به أحياء حائل القديمة، ويتميز الجامع برفوفه التي يصل ارتفاعها إلى ثلاثة أمتار، والمبنية من الجص الأبيض، والتي توضع عليها المصاحف والكتب الإسلامية القديمة، التي عادة ما كانت تأتي من مكة المكرمة والمدينة المنورة.
وتزخر منطقة حائل بعمارتها الإسلامية التي تتمثل في المساجد والمساكن المدنية والمنشآت العسكرية، مثل القلاع والحصون، إذ كانت حائل ممرًا للجيوش الإسلامية، فضلًا عن موقعها على طريق الحج.
ويعد جامع برزان الكبير من أقدم جوامع حائل، بني من الطوب الصخري والجبلي المستخلص من جبال أجا، وأعيد بناؤه عام 1401هـ، ويستوعب حاليًّا نحو 6,000 مصلٍ.",https://saudipedia.com/article/14579/شؤون-دينية/مساجد/أين-يقع-جامع-برزان-الكبير
اقتصاد وأعمال,كم يبلغ احتياطي الذهب في السعودية؟,"يقدر احتياطي المملكة العربية السعودية من الذهب بنحو 323.07 طنًّا، بنهاية الربع الأول 2024م، في حين يقدر إجمالي قيمة احتياط المعادن بحوالي  9.375 تريليونات ريال (نحو 2.5 تريليون دولار)، ويبلغ عدد المصانع المنتجة لسبائك الذهب والفضة في المملكة نحو 6 مصانع، يتجاوز حجم استثمارها 7 مليارات ريال.
ويستخدم معدن الذهب في صناعة الحلي والمجوهرات، وفي سك النقود كغطاء للعملات الورقية، إضافة إلى استخدامه في الصناعات الإلكترونية والكهربائية الدقيقة، والأجهزة الطبية، وأجهزة الاتصالات والمواصلات، مثل محركات الطائرات والسفن الفضائية.
وقد أصدرت وزارة الصناعة والثروة المعدنية 477 رخصة كشف عن خام الذهب، كما بلغ عدد التراخيص الصادرة لقطاع الذهب نحو 15 رخصة، بعضها بدأت في عمليات الإنتاج، وبعضها تحت التطوير.",https://saudipedia.com/article/14576/اقتصاد-وأعمال/طاقة-وموارد-طبيعية/كم-يبلغ-احتياطي-الذهب-في-السعودية
حكومة وسياسة,ما هي السن القانونية الأدنى للعمل في السعودية؟,"حدد نظام العمل في المملكة العربية السعودية، إتمام سن الخامسة عشرة كأدنى سن قانونية للعمل، مع منح صلاحيات لوزير الموارد البشرية والتنمية الاجتماعية في حالات معينة.
وتقر الأنظمة السعودية بحق المواطن في العمل، وضبطت بقواعد صارمة كل ما يتصل بالعمل، كالسن القانونية للعمل، وعلاقة العامل بصاحب العمل أو بالمنشأة، وظروف العمل والحقوق والواجبات من خلال نظام العمل الصادر في 1426هـ/2005م.
وحددت المادة 162 من النظام السن القانونية للعمل حيث نصت على: لا يجوز تشغيل أي شخص لم يتم الخامسة عشرة من عمره، ولا يسمح له بدخول أماكن العمل، وللوزير (وزير الموارد البشرية والتنمية الاجتماعية) أن يرفع هذه السن في بعض الصناعات أو المناطق أو بالنسبة لبعض فئات الأحداث بقرار منه، كما منحت المادة الوزير الحق في السماح بتشغيل أو عمل الأشخاص الذين تتراوح أعمارهم ما بين 13- 15 سنة في أعمال خفيفة، ولكن وفق ضوابط منها: ألا يحتمل أن تكون ضارة بصحتهم أو نموهم، ألا تعطل مواظبتهم في المدرسة واشتراكهم في برامج التوجيه أو التدريب المهني، ولا تضعف قدرتهم على الاستفادة من التعليم الذي يتلقونه.
وتضمن النظام الاحترازات الكافية فيما يتعلق بعمالة الأحداث فيحظر النظام تشغيل الأحداث أثناء فترة من الليل لا تقل عن اثنتي عشرة ساعة متتالية إلا في الحالات التي يحددها الوزير بقرار منه، وأنه لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات، ولا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات، ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية.
وحدد النظام الجهة الإدارية المنوط بها شؤون العمل في النطاق المكاني الذي يحدد بقرار من الوزير، وهي مكتب العمل، كما عرف النظام الحدث بأنه الشخص الذي أتم الخامسة عشرة من عمره ولم يبلغ الثامنة عشرة.",https://saudipedia.com/article/14555/حكومة-وسياسة/أنظمة/ما-هي-السن-القانونية-الأدنى-للعمل-في-السعودية
اقتصاد وأعمال,ما هي عملة طويلة الحسا؟,"عملة طويلة الحسا أو ""الطويلة""، هي عملة محلية مسكوكة من النحاس، تعد من أقدم العملات التي جرى تداولها، استخدمت على نطاق محلي في عهد الدولة السعودية الثانية، وقد عثر على إحداها في محافظة الهفوف وترجع لعام 757هـ/1356م.
ويختلف شكل عملة طويلة الحسا عن باقي العملات، إذ تشابه مشبك الشعر أو الملقط، ولها فئات ثلاث: الذهبية والفضية والبرونزية.
وساد في التعاملات المالية قديمًا قبيل تنظيم النقد مؤسساتيًّا في المملكة العربية السعودية استخدام العملات الأجنبية، إذ لم تكن هناك دور لسك العملات محليًا، ومن هذه العملات: الروبية الهندية، والجنيه الإنجليزي الذهبي، وريال ماريا تيريزا النمساوي، كذلك انتشر استخدام القرش المصري والريال المجيدي، بين التجار ومن تجري بينهم تعاملات داخل دول الخليج العربي، ودول شرق آسيا.",https://saudipedia.com/article/14554/اقتصاد-وأعمال/مال/ما-هي-عملة-طويلة-الحسا
شؤون دينية,هل تصدر السعودية ماء زمزم؟,"لا تصدرالسعوديةماء زمزم، وهو ضمن عدة منتجات يمنع تصديرها، حسب قوانين المملكة العربية السعودية، وعلى الرغم من أنه يسمح لكل حاج ومعتمر باصطحاب عبوة واحدة من مياه زمزم المعدة خصيصًا للسفر، إلا أن ماء زمزم يمنع تصديره كسلعة.
وتنتج مياه زمزم من خلال مصنع التعبئة (مشروع الملك عبدالله بن عبدالعزيز لسقيا زمزم) الذي دُشن في عام 1431هـ/2010م بتكلفة 700 مليون ريال لضماننقاوة مياه زمزمبتقنيات عالمية متقدمة، إلى جانب تعبئته وتوزيعه آليًّا، ويتكون المشروع من عدة مبانٍ، منها مبنى ضواغط الهواء ومستودع عبوات المياه الخام ومبنى خطوط الإنتاج ومبنى مستودع العبوات المنتجة بطاقة تخزينية يومية تبلغ 200 ألف عبوة، وبسعة تخزينية قصوى بلغت نحو 2.2 مليون عبوة لتخزين العبوات، وتبلغ المساحة الكلية للمصنع 13,405 م2، ويشمل المشروع مبنى المولدات الكهربائية الاحتياطية بطاقة 10 ميجاوات، ويعمل بنظام ""سكادا"" الذي يمكن من التحكم والمراقبة لمراحل المشروع كافة، ابتداءً من ضخ المياه من البئر إلى آخر مراحل التعبئة.",https://saudipedia.com/article/14550/شؤون-دينية/المسجد-الحرام/هل-تصدر-السعودية-ماء-زمزم
حكومة وسياسة,ما حجم إنتاج السعودية من الأسماك؟,"بلغ حجم إنتاج المملكة العربية السعودية لعام 2022م، من الأسماك  184,759 طنًّا متريًّا، وبلغ إجمالي المصيد من مصايد البحر الأحمر والخليج العربي 64,263 طنًّا متريًّا، حيث بلغ إجمالي المصيد من مصايد البحر الأحمر 23,846 طنًّا متريًّا من الأسماك، بينما بلغ إجمالي المصيد من مصايد الخليج العربي نحو 40,417 طنًّا متريًّا، في حين شكل إجمالي حجم الإنتاج من الاستزراع السمكي في المياه المالحة والمياه العذبة نحو 120,495 طنًّا متريًّا من الأسماك، وذلك طبقا لإحصائيات الكتاب السنوي الصادر عن وزارة البيئة والمياه والزراعة لعام 2022م.
وتوجد بالسعودية وكالة الثروة السمكية التابعة لوزارة البيئة والمياه والزراعة، وتُشرف الوكالة على مواقع الاستزراع، واختيارها، ومنح التراخيص، وتقييم دراسات الجدوى الفنية والاقتصادية، بالإضافة إلى تقديم الدعم الفني والإرشادي للمستثمرين، والعمل على إعداد الأنظمة والتشريعات المتعلقة بجميع شؤون الاستزراع المائي، حيث تعمل على تنمية قطاع الثروة السمكية في المملكة في قطاع الاستزراع المائي وقطاع الثروة السمكية، كما تصدر الوكالة إحصائيات خاصة بقطاع الثروة السمكية في السعودية.",https://saudipedia.com/article/14548/حكومة-وسياسة/المياه-والزراعة/ما-حجم-إنتاج-السعودية-من-الأسماك
حكومة وسياسة,هل يوجد تجنيد للنساء في السعودية؟,"نعم، يوجد تجنيد للنساء في السعودية، وذلك في إطار جهود السعودية في تمكين المرأة، إذ أتاحت لها الفرصة للمشاركة في عدد من المهام الأمنية التي يقوم على تنفيذها الأمن العام والقوات الخاصة لأمن الحرمين الشريفين، والإدارة العامة للأدلة الجنائية، والأعمال الشرطية، كما أتاحت المملكة مجال التجنيد العسكري للمرأة، حيث وسعت وزارة الدفاع النطاق العسكري النسائي عبر فتح بوابة القبول والتجنيد الموحد للتقديم على وظائف عسكرية برتب مختلفة (جندي، جندي أول، عريف، وكيل، رقيب) في أفرعها المتعددة من القوات البحرية والجوية والبرية السعودية والخدمات الطبية، إضافة إلى تقديم دورة الفرد الأساسي بمركز تدريب الكادر النسائي للقوات المسلحة.
ويقدم مركز تدريب الكادر النسائي للقوات المسلحة برامج ومناهج تدريبية لتوفير بيئة تعليمية مثالية للكادر النسائي بمعايير عالمية تلبي احتياجات القوات المسلحة وتحقق أهداف وزارة الدفاع، ونظم المركز العديد من الدورات التدريبية، منها: دورة فرد أساسي، ودورة تأسيسية إدارة ضابط صف، ودورة متقدمة إدارة ضابط صف، ودورة تأهيل شرطة عسكرية.",https://saudipedia.com/article/14544/حكومة-وسياسة/شؤون-حكومية/هل-يوجد-تجنيد-للنساء-في-السعودية
حكومة وسياسة,متى انضمت السعودية لليونيسف؟,"بعد 15 عامًا من تأسيس منظمة الأمم المتحدة للطفولة ""اليونيسف""، وقّعت المملكة العربية السعودية معها أول اتفاقية تعاون، وتحديدًا في 21 محرم 1381هـ/4 يوليو 1961م. وظلت المنظمة توفر الدعم للسعودية من خلال مكتبها الإقليمي في بيروت بلبنان حتى عام 1394هـ/1975م، عندما افتتحت اليونيسف مكتب اتصال لها في الرياض، ثم رُقي إلى مكتب قُطري عام 1401هـ/1981م، ثم إلى مكتب منطقة الخليج في عام 1407هـ/1987م، وذلك من خلال دمج المكاتب القُطرية في البحرين والسعودية والإمارات، ليصبح مسؤولًا عن أنشطة اليونيسف في الدول الثلاث، إضافة إلى الكويت.
وتأسست اليونيسف (UNICEF) بقرار الجمعية العامة للأمم المتحدة في 1366هـ/1946م، بهدف توفير إمدادات ومساعدات لأطفال العالم بعد الحرب العالمية الثانية، ويغطي عمل المنظمة 190 دولة وإقليمًا حول العالم لحمايةِ حقوق كلّ طفل، ولتعزيز حقوق ورفاهية كلّ طفل، كما تهتم بالوصول إلى الأطفال المتضررين والأكثر تهميشًا، مع إدراكِها لأهمية التنمية الخاصة خلال مرحلتي الطفولة المبكرة والمراهقة، إلى جانب العمل على ضمان المساواة لمن يتعرضون للتمييز.",https://saudipedia.com/article/14536/حكومة-وسياسة/السياسة-الخارجية/متى-انضمت-السعودية-لليونيسف
شؤون دينية,كم يبلغ عمق بئر زمزم؟,"يمتد عمق بئر زمزم إلى 30م، جزء منه مبني يُقدر عمقه بـ12.80م، والآخر منقور في صخر الجبل ويصل طوله إلى 17.20م، أما قطره فيختلف بحسب عمقه، ويتراوح بين 1.5م و2.5م.
اعتنى ملوك المملكة العربية السعودية ببئر ماء زمزم على مر العصور، وحرصوا على تحسينه وتطويره منذ عهد الملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود، فإلى زمنه كانت الدلاء تُستخدم لاستخراج الماء من البئر، حتى أمر بتركيب مضخة في عام 1373هـ/1954م، تضخ لخزانين علويين، ووُصل كل خزان بـ12 صنبورًا، واستُخدمت إلى جانب الدلاء.
ونفذت الحكومة السعودية في التوسعة الأولى عام 1377هـ/1958م تصميما مميزًا لبئر زمزم وأزيل ما يضيق على الطائفين بوضع البئر تحت الأرض وأصبح سقف المبنى مساويا لأرض المطاف، كما جعل للبئر جدار من الخرسانة مكسو بالرخام. وتشرف إدارة سقيا زمزم بالمسجد الحرام على البئر وتوفير المياه العادية والمبردة في الحافظات، كما تتولى شؤون نظافتها وتزويدها بالأكواب البلاستيكية، وغسل المشربيات والأكواب المعدنية، ومراقبة درجة برودة المشربيات.",https://saudipedia.com/article/14535/شؤون-دينية/المسجد-الحرام/كم-يبلغ-عمق-بئر-زمزم
تاريخ,لماذا اختيرت البلدة القديمة في العلا ضمن أفضل القرى السياحية في العالم؟,"اختيرت البلدة القديمة في العُلا ضمن قائمة أفضل القرى السياحية في العالم من قبل منظمة السياحة العالمية ضمن 32 قرية من مختلف أنحاء العالم لعام 2022م، لامتلاك البلدة القديمة متطلبات معايير الاختيار.
وخضعت القرى في قائمة أفضل القرى السياحية في العالم التي تعد المشروع الرئيس ضمن برنامج المنظمة المعني بالسياحة من أجل التنمية الريفية،لتقييم مجلس استشاري مستقل على أساس مجموعة من المعايير التي تغطّي 9 مجالات، هي: الموارد الثقافية والطبيعية، والترويج للموارد الثقافية والحفاظ عليها، والاستدامة الاقتصادية، والاستدامة الاجتماعية، والاستدامة البيئية، والتنمية السياحية ودمج سلسلة القيمة، وإدارة السياحة وتحديد أولوياتها، والبنية الأساسية والترابط، والصحة والسلامة والأمن.
وتهدف قائمة أفضل القرى السياحية في العالم إلى تسليط الضوء على المقاصد الريفية التي تتبنى السياحة كمحرِّكٍ للتنمية وفرص الأعمال والمداخيل الجديدة، وتحافظ على القيم والمنتجات المجتمعية وتروّج لها. وتقدّر القائمة القرى لالتزامها الابتكار والاستدامة في كلّ جوانبها، الاقتصادية والاجتماعية والبيئية، ولتركيزها على تطوير قطاع السياحة بما يتماشى مع أهداف التنمية المستدامة.",https://saudipedia.com/article/14533/تاريخ/معالم-و-آثار/لماذا-اختيرت-البلدة-القديمة-في-العلا-ضمن-أفضل-القرى-السياحية-في-العالم
حكومة وسياسة,كم عدد سكان السعودية؟,"وفقًا للنتائج الرئيسة لتعداد السعودية 2022، التي نشرتها الهيئة العامة للإحصاء عام 1444هـ/2023م، فإن عدد سكان المملكة العربية السعودية بلغ 32,175,224 نسمة. وبلغت نسبة السعوديين 58.4%، وعددهم 18.8 مليون نسمة، بينما بلغت نسبة غير السعوديين 41.6%، وعددهم 13.4 مليون نسمة. ووصل عدد الذكور إلى 19.7 مليون نسمة، يمثلون 61.2%، في حين بلغ عدد الإناث 12.5 مليون نسمة بنسبة 38.8%.
ويسكن 67.5% من إجمالي عدد سكان السعودية في مناطق الرياض، ومكة المكرمة، والشرقية. وتتصدر مدينة الرياض من حيث عدد السكان، تليها: جدة، ومكة المكرمة، والمدينة المنورة، والدمام. وبلغ متوسط عمر السكان 29 عامًا، فيما بلغ متوسط عمر السعوديين 25 عامًا، ووصلت نسبة السعوديين الذين تقل أعمارهم عن 30 عامًا إلى 63% من إجمالي عدد السعوديين. وبلغ إجمالي عدد الأسر السعودية 4.2 ملايين أسرة، بمتوسط حجم يعادل 4.8 أفراد للأسرة الواحدة، وتقاربت نسبة الذكور السعوديين مع الإناث السعوديات، بينما وصلت نسبة الذكور إلى 50.2% مقارنة بـ 49.8% للإناث.",https://saudipedia.com/article/14530/حكومة-وسياسة/الشؤون-البلدية-والإسكان/كم-عدد-سكان-السعودية
مجتمع,كيف تُصنع الجنبية في نجران؟,"تعد صناعة الجنبية أو الخنجر من الصناعات التقليدية في منطقة نجران جنوب غربي المملكة العربية السعودية، وتصنع من الحديد، بمقبض يُصنع من قرون بعض الحيوانات، ويُزيّن بقطع فضية أو ذهبية، كما يُصنع الغمد من الخشب المغطى بالجلد أو بصفائح من الفضة، ويثبت الغمد في حزام من الجلد.
وتتعدد أصناف وأنواع الجنابي في نجران، ومنها: أم تسعة أو أم فصوص، والمشطف، وذرور، وهناك نوع آخر يسمى المكعب، وجنبية الدرما.",https://saudipedia.com/article/14529/مجتمع/اللباس-والزينة/كيف-تصنع-الجنبية-في-نجران
ثقافة,ما الخدمات التي تقدمها مكتبة جامعة الملك سعود؟,تقدم المكتبة المركزية في جامعة الملك سعود في مدينة الرياض للباحثين وحدة المخطوطات التي تمكنهم من مشاركة الخدمات المرجعية والبحثية التي تملكها، والاطلاع على المخطوطات المحفوظة واستخدام صور منها، كما يمكن تدريب الطلبة من أقسام محددة على المخطوطات. وتشتري الجامعة المخطوطات ثم تقوم بعمليات ترميمية لها وحفظها رقميًّا، وفهرستها وتصنيفها، بالإضافة إلى أن جامعة الملك سعود دمجت 7 مكتبات داخل الحي الجامعي في مكتبة واحدة مع بداية عام 1404هـ/1984م.,https://saudipedia.com/article/14528/ثقافة/معرفة/ما-الخدمات-التي-تقدمها-مكتبة-جامعة-الملك-سعود
جغرافيا,كم تبلغ مساحة صحراء النفود الكبير؟,تمتد مساحة صحراء النفود الكبير إلى 65 ألف كم2، وهي ثاني أكبر الصحاري في المملكة العربية السعودية من حيث المساحة، إذ تمثّل نحو 10.2% من مجموع التجمعات الرملية في المملكة، وتغطي ثلاث مناطق إدارية، هي الجوف، وحائل، وتبوك.  يدلّ لونها الأحمر على وجود أكسيد الحديد وعلى تعرّضها ونتوءات أحجارها الرملية لعوامل التعرية عبر السنوات. تشتهر الصحراء برياحها القوية وكثبانها الهلالية السائدة، ويصل بعضها إلى 200م.,https://saudipedia.com/article/14527/جغرافيا/صحارى/كم-تبلغ-مساحة-صحراء-النفود-الكبير
حكومة وسياسة,كم عدد الجامعات الحكومية في منطقة الجوف؟,"تضم منطقة الجوف جامعة حكومية واحدة هي جامعة الجوف، يقع مقرها الرئيس في العاصمة الإدارية سكاكا، وتخدم محافظات المنطقة: دومة الجندل، وطبرجل، والقريات.
تأسست جامعة الجوف في 12 جمادى الأولى 1426هـ/19 يونيو 2005م، وبدأت مسيرتها بأربع كليات، هي: كلية العلوم، وكلية الهندسة، وكلية العلوم الطبية التطبيقية، وكلية المجتمع بالقريات، وبعد عام واحد صدر الأمر السامي بالموافقة على إنشاء كلية الطب، ليزيد عدد الكليات إلى خمس، وارتفع العدد إلى 16 كلية في تخصصات ومجالات علمية مختلفة.",https://saudipedia.com/article/14526/حكومة-وسياسة/التعليم-والتدريب/كم-عدد-الجامعات-الحكومية-في-منطقة-الجوف
شؤون دينية,ما هو موسم العمرة في السعودية؟,"موسم العمرة في المملكة العربية السعودية هو الفترة الزمنية التي يتاح فيها أداء مناسك العمرة، المتمثلة في الطواف حول الكعبة المشرفة، والسعي بين الصفا والمروة، بعد الإحرام من أحد المواقيت المخصصة للإحرام قبل أداء الحج أو العمرة.
ويبدأ موسم العمرة سنويًّا للقادمين من الخارج وإصدار تأشيراتهم بعد انتهاء موسم الحج مباشرة في 13 ذو الحجة من كل عام هجري، ويستمر حتى بداية موسم الحج، حيث تمنع العمرة لغير الحجاج.",https://saudipedia.com/article/14525/شؤون-دينية/الحج-والعمرة/ما-هو-موسم-العمرة-في-السعودية
مجتمع,ما هي عرائس السماء؟,"عرائس السماء، هي شرفات توجد في أعالي الحيطان، وهي منتشرة في بعض مناطق المملكة العربية السعودية، وغالبًا ما تُبنى من الطين أو الحجر، وهي عنصر زخرفي وعملي في الوقت نفسه، لأنها تحمي قمم الجدران من مياه الأمطار، وارتبطت الشرفات بالبيوت والمساجد حتى سميت عرائس السماء، وغالبا ما تكسى هذه الشرفات بالجص أو الأسمنت.
وسميت الشرفات بالعرائس، لأنها تشبه أشكالا آدمية تجريدية، تتلاصق أيديها وأرجلها، وأخذت الشرفات أشكالاً متعددة منها: الشـرفات المسننة، والشـرفات المورقة، والشرفات البسيطة.",https://saudipedia.com/article/14524/مجتمع/عناصر-المنزل/ما-هي-عرائس-السماء
حكومة وسياسة,كم عدد الجامعات الحكومية في منطقة تبوك؟,"تضم منطقة تبوك جامعة حكومية واحدة، تقع في العاصمة الإدارية تبوك، وتتوزع فروعها في مختلف محافظات المنطقة، تأسست عام 1427هـ/2006 م.
تشمل الجامعة 13 كلية تقع في فرعها الرئيس، و5 كليات أخرى تتوزع بين محافظات ضباء، والوجه، وأملج، وحقل، وتيماء.
وتمتد جامعة تبوك على مساحة 12 مليون م2، يتكون معظمها من مباني الكليات والمعاهد والعمادات ومساكن أعضاء هيئة التدريس.",https://saudipedia.com/article/14522/حكومة-وسياسة/التعليم-والتدريب/كم-عدد-الجامعات-الحكومية-في-منطقة-تبوك
جغرافيا,ما الكائنات الفطرية في محمية جزيرة أم القماري؟,"تضم محمية أم القماري أنواعًا من الطيور البحرية، والطيور الشاطئية، وعددًا من الطيور البرية، مثل: العقاب النساري، ومالك الحزين، والبلشون الأبيض، والقمري المطوق الأفريقي، كما تتنوع الحياة البحرية فيها، وتمتاز بوجود الشعاب المرجانية، والحيوانات اللافقارية البحرية.
تقع محمية جزيرة أم القماري جنوب غربي محافظة القنفذة في البحر الأحمر، وسُميت بهذا الاسم  نسبة إلى كثرة طيور القماري فيها، خاصة في موسم الهجرة. وتتكون من جزيرتين، هما: أم القماري البرانية، وأم القماري الفوقانية.",https://saudipedia.com/article/14521/جغرافيا/محميات/ما-الكائنات-الفطرية-في-محمية-جزيرة-أم-القماري
تاريخ,متى بُني برج الشنانة؟,"شُيّد برج الشنانة، جنوب غرب محافظة الرس بمنطقة القصيم، عام 1111هـ/1699م، وأُطلق عليه قديمًا مرقب الشنانة.
يبلغ طول برج الشنانة حاليًّا 25م، وكان طوله سابقًا 32م، وتهدمت منه سبعة أمتار بسبب الأمطار والرياح القوية، ويُعدُّ من أطول المباني الطينية في المملكة العربية السعودية، ويبلغ قطره من الأسفل 7م، وقطره من الأعلى 1.5 م، وهو مخروطي الشكل ويتكون من ثمانية أدوار، رُمم أول مرة في عام 1399هـ/1979م.",https://saudipedia.com/article/14520/تاريخ/معالم-و-آثار/متى-بني-برج-الشنانة
شؤون دينية,ما هي مهام الشاشات الإلكترونية في المسجد الحرام؟,"تعمل الشاشات الالكترونية في المسجد الحرام بمكة المكرمة على عرض المحتويات التوجيهية والإرشادية المتناسبة مع المواسم والمناسبات المتتالية بلغات عدة، سواء في شهر رمضان أو موسمي الحج والعمرة.
وتهدف الشاشات إلى تثقيف زوار المسجد الحرام من المصلين والمعتمرين والحجاج، ورفدهم بمعلومات متنوعة في الإرشاد والتوجيه وأحكام المناسك، إضافة إلى مجموعة من الإرشادات الدينية المتنوعة في أحكام الصلاة والسعي والطواف.وتعمل الشاشات الإلكترونية على مدار اليوم، وتتوزع على مداخل ومخارج المسجد الحرام وساحاته والطرق المؤدية إليه.",https://saudipedia.com/article/14519/شؤون-دينية/المسجد-الحرام/ما-هي-مهام-الشاشات-الإلكترونية-في-المسجد-الحرام
حكومة وسياسة,ما الهدف من إطلاق الإنسان الرقمي 'أمين'؟,"الإنسان الرقمي ""أمين"" هو أحد مشاريع المؤسسة العامة للتأمينات الاجتماعية، ويهدف تشغيله وإطلاقه إلى خدمة عملاء المؤسسة وإنجاز معاملاتهم.
ويتفاعل ""أمين"" بالصوت والصورة، وهو مبرمج لاستقبال آلاف الطلبات وإجابة الاستفسارات بالوقت ذاته وعلى مدار الساعة حتى في الإجازات الرسمية، في منظومة إلكترونية مؤمنة وموثوقة لحماية البيانات وحفظها، وبقدرة على حفظ قاعدة بيانات ضخمة لمواكبة الطلبات والاستفسارات، أطلقته المؤسسة العامة للتأمينات الاجتماعية في مؤتمر ""ليب 2023"" التقني بالعاصمة الرياض، ويهدف إلى رفع الإنتاجية وتقليص دورة عمل كل المعاملات، ضمن استراتيجية التحول الوطني الرقمي، وتوظيف قدرات الذكاء الاصطناعي.",https://saudipedia.com/article/14518/حكومة-وسياسة/الحكومة-الرقمية/ما-الهدف-من-إطلاق-الإنسان-الرقمي-أمين
حكومة وسياسة,متى أُسست هيئة الرقابة ومكافحة الفساد؟,"أُسست هيئة الرقابة ومكافحة الفساد (الهيئة الوطنية لمكافحة الفساد سابقًا) بأمر ملكي بتاريخ 13 ربيع الآخر 1432هـ/18 مارس 2011م. وحرصت المملكة العربية السعودية في المساهمة والمشاركة مع المجتمع الدولي في أهدافه واهتماماته حول مكافحة الفساد، وذلك عبر عقد اتفاقيات، وندوات، ومؤتمرات، إضافة إلى تعزيز التعاون الدولي.
وتهدف هيئة الرقابة ومكافحة الفساد إلى حماية النزاهة، وتعزيز مبدأ الشفافية، إضافة إلى مكافحة الفساد المالي والإداري بمختلف صوره ومظاهره وأساليبه.
ومن اختصاصات هيئة الرقابة ومكافحة الفساد: متابعة استرداد الأموال والعائدات الناتجة من جرائم الفساد مع الجهات المختصة، وتشجيع القطاع العام والخاص على وضع خطط وبرامج لحماية النزاهة ومكافحة الفساد.",https://saudipedia.com/article/14516/حكومة-وسياسة/هيئات/متى-أسست-هيئة-الرقابة-ومكافحة-الفساد
حكومة وسياسة,ما هي مهام الهيئة العامة لتنظيم الإعلام؟,للهيئة العامة لتنظيم الإعلام في المملكة العربية السعودية عدد من المهام، منها: تطوير مختلف أنواع الأنشطة في قطاع الإعلام، ورفع مستوى الخيارات الترفيهية للمستهلك، والمحافظة على القيم الثابتة في السعودية، وتعزيز الدور المحوري الذي تتمتع به على المستويين الإقليمي والدولي، والإشراف على النشاط الإعلاني للأفراد والشركات والمؤسسات، ومتابعة المحتوى الإعلامي الرقمي بجميع أنواعه في وسائل الإعلام ومنصات التواصل الاجتماعي وضبطه، وإدارة عملية التراخيص المتعلقة بالقطاع وإصدارها، ومراقبة جميع مقدمي خدمات البث والمحتوى الإعلامي المرئي والمسموع.,https://saudipedia.com/article/14515/حكومة-وسياسة/هيئات/ما-هي-مهام-الهيئة-العامة-لتنظيم-الإعلام
جغرافيا,مم تتكون الغابات في السعودية؟,"تُعد أشجار العرعر من أكثر أنواع النباتات انتشارًا في الغابات بمناطق جنوب غربي المملكة العربية السعودية، وتضم تلك الغابات أشجار: السمر، والعوشز (العوسج)، والطلح، والزيتون، والأراك،والأثل، والسدر، والنمص، والنخل، والعشر، والقرض، وتمتلك تلك النباتات القدرة على تحمل الظروف البيئية الصعبة، كالجفاف والحرارة والبرودة.
وتعد الغابات في السعودية مصدرًا لإنتاج النباتات الطبية والعطرية، ومراعي تناسب النحل لإنتاج العسل، وتوفر المأوى والغذاء للحيوانات والحياة البرية، إضافةً إلى أنها أحد معالم الجذب السياحي والترفيهي، كما تشكل موردًا اقتصاديًّا للسكان المحليين.",https://saudipedia.com/article/14514/جغرافيا/بيئة/مم-تتكون-الغابات-في-السعودية
